"","commune_station","w_typ","w_typ_de","station_symbol","quant_class","quant_class_radiant","longitude","latitude","type_ouvrage","niveau_categorie","tendance_7j_fr","tendance_7j_de"
"1","Areuse - St-Sulpice","cours d'eau",NA,1,1,0,6.55889467174402,46.9106329688718,"cours d'eau","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"2","Basel","puits","Förderbrunnen",1,1,4.71239,7.5702962297676,47.5555043611785,"puits","Bas (< 10ème perzentile)","En baisse (7 derniers jours)","Sinkend (letzte 7 Tage)"
"3","Bettwil","puits","Förderbrunnen",1,1,6.28319,8.26728769462514,47.2851020937942,"puits","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"4","Brittnau","puits","Förderbrunnen",1,1,6.28319,7.94546272207173,47.2754603135225,"puits","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"5","Emmen, Marienkirche 6","puits","Förderbrunnen",1,2,4.71239,8.28452157514284,47.071186652516,"puits","Normal (10ème - 90ème perzentile)","En baisse (7 derniers jours)","Sinkend (letzte 7 Tage)"
"6","Giubiasco","puits","Förderbrunnen",1,2,6.28319,8.97503645127413,46.1673009816492,"puits","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"7","Lucens 1","puits","Förderbrunnen",1,2,4.71239,6.8560050440582,46.7174375681864,"puits","Normal (10ème - 90ème perzentile)","En baisse (7 derniers jours)","Sinkend (letzte 7 Tage)"
"8","Luterbach","puits","Förderbrunnen",1,2,6.28319,7.5983828980187,47.2226649023974,"puits","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"9","Märstetten","puits","Förderbrunnen",1,1,6.28319,9.05804205070187,47.5778842704853,"puits","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"10","Näfels, Erlen","puits","Förderbrunnen",1,1,6.28319,9.05793687932398,47.0828667111608,"puits","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"11","Pratteln","puits","Förderbrunnen",1,2,3.14159,7.70695981518601,47.5277573989259,"puits","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"12","Pregassona","puits","Förderbrunnen",1,2,6.28319,8.96380595497886,46.0186568665348,"puits","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"13","Dietikon","eaux souterraines","Grundwasser",1,2,6.28319,8.39680201600774,47.4113960874918,"eaux souterraines","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"14","Goldingen","eaux souterraines","Grundwasser",1,1,6.28319,8.97141717628399,47.2638573552159,"eaux souterraines","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"15","Savigny 2, Chalet des Humbert","eaux souterraines","Grundwasser",1,0,0,6.71955198615524,46.5592109476228,"eaux souterraines","Indisponible / Non mesuré","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"16","Buechberg","piézomètre","Piezometer",1,2,6.28319,8.72069248557733,47.6742650138729,"piézomètre","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"17","Ermensee, Chilchfeld NQG25","piézomètre","Piezometer",1,1,6.28319,8.25043607352411,47.2278785240266,"piézomètre","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"18","Hasle - Kalchofen (G224)","piézomètre","Piezometer",1,1,4.71239,7.65199178636169,47.0180525356926,"piézomètre","Bas (< 10ème perzentile)","En baisse (7 derniers jours)","Sinkend (letzte 7 Tage)"
"19","HG2851 Sennwald, Salez, Bifang","piézomètre","Piezometer",1,1,4.71239,9.50517431435645,47.2397469796797,"piézomètre","Bas (< 10ème perzentile)","En baisse (7 derniers jours)","Sinkend (letzte 7 Tage)"
"20","HG8755 Gossau (SG), Hirschberg","piézomètre","Piezometer",1,1,6.28319,9.26758548787793,47.4126353115237,"piézomètre","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"21","Kestenholz","piézomètre","Piezometer",1,2,6.28319,7.75338284158197,47.2895815527076,"piézomètre","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"22","Moleno","piézomètre","Piezometer",1,2,6.28319,8.99157408612822,46.274584383474,"piézomètre","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"23","Niederbipp - Walksmatt (G229)","piézomètre","Piezometer",1,2,6.28319,7.71879361487277,47.2731205657201,"piézomètre","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"24","Oberwichtrach - Stockeren (G148)","piézomètre","Piezometer",1,1,6.28319,7.57095463116735,46.833799033764,"piézomètre","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"25","Schaffhausen, Roggenäcker","piézomètre","Piezometer",1,2,4.71239,8.66216979352002,47.7016453982502,"piézomètre","Normal (10ème - 90ème perzentile)","En baisse (7 derniers jours)","Sinkend (letzte 7 Tage)"
"26","Soral","piézomètre","Piezometer",1,3,6.28319,6.04627421321537,46.1431808337701,"piézomètre","Haut (> 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"27","Trub 2","piézomètre","Piezometer",1,1,6.28319,7.87775109910167,46.9400796335474,"piézomètre","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"28","Utzenstorf - Lindenrain (G186)","piézomètre","Piezometer",1,1,6.28319,7.58266806631266,47.1228435728973,"piézomètre","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
